R1SZFUL,R1SZELETSZ,R1SZKSORSZ
H9528,3308295284,5
H9529,3308295291,11
H9531,3308295316,10
H9534,3308295347,7
H9535,3308295354,1
H9536,3308295361,7
H9539,3308295392,19
H9544,3308295448,7
H9546,3308295462,15
H9547,3308295479,11
H9548,3308295486,12
H9549,3308295493,26
H9554,3308295549,10
H9555,3308295556,5
H9558,3308295587,14
H9559,3308295594,13
H9561,3308295619,22
H9567,3308295671,1
H9569,3308295695,11
H9571,3308295710,14
H9572,3308295727,14
H9577,3308295772,9
H9578,3308295789,9
H9579,3308295796,13
H9581,3308295811,5
H9582,3308295828,2
H9583,3308295835,17
H9585,3308295859,2
H9587,3308295873,7
H9592,3308295929,15
H9600,3308296009,10
H9607,3308296078,19
H9608,3308296085,0
H9612,3308296124,2
H9618,3308296186,3
H9619,3308296193,0
H9621,3308296218,17
H9624,3308296249,6
H9626,3308296263,2
H9630,3308296302,6
H9636,3308296364,22
H9639,3308296395,10
H9641,3308296410,8
H9642,3308296427,0
H9647,3308296472,4
H9648,3308296489,5
H9649,3308296496,1
H9651,3308296511,1
H9652,3308296528,12
H9656,3308296566,3
H9661,3308296612,13
H9670,3308296706,7
H9671,3308296713,10
H9673,3308296737,10
H9674,3308296744,5
H9680,3308296807,1
H9688,3308296883,6
H9690,3308296908,16
H9691,3308296915,12
H9692,3308296922,13
H9694,3308296946,1
H9695,3308296953,0
H9696,3308296960,14
H9697,3308296977,9
H9703,3308297033,12
H9704,3308297040,10
H9705,3308297057,4
H9708,3308297088,20
H9711,3308297110,16
H9712,3308297127,7
H9715,3308297158,7
H9716,3308297165,5
H9719,3308297196,6
H9722,3308297228,8
H9724,3308297242,10
H9728,3308297280,13
H9732,3308297329,10
H9734,3308297343,11
H9735,3308297350,8
H9738,3308297381,7
H9739,3308297398,11
H9740,3308297406,10
H9741,3308297413,10
H9742,3308297420,5
H9743,3308297437,8
H9749,3308297499,16
H9753,3308297538,9
H9755,3308297552,0
H9756,3308297569,18
H9757,3308297576,12
H9760,3308297608,19
H9761,3308297615,7
H9762,3308297622,4
H9764,3308297646,12
H9765,3308297653,2
H9768,3308297684,17
H9769,3308297691,10
H9770,3308297709,8
H9774,3308297747,10
H9775,3308297754,10
H9776,3308297761,7
H9778,3308297785,0
H9779,3308297792,7
H9780,3308297800,8
H9781,3308297817,1
H9783,3308297831,0
H9787,3308297879,7
H9789,3308297893,10
H9792,3308297925,1
H9793,3308297932,9
H9803,3308298036,11
H9805,3308298050,13
H9807,3308298074,7
H9808,3308298081,9
H9810,3308298106,12
H9816,3308298168,9
H9817,3308298175,10
H9818,3308298182,11
H9819,3308298199,8
H9820,3308298207,8
H9825,3308298252,6
H9826,3308298269,15
H9827,3308298276,1
H9830,3308298308,8
H9832,3308298322,20
H9835,3308298353,0
H9836,3308298360,12
H9837,3308298377,10
H9840,3308298409,1
H9841,3308298416,7
H9845,3308298454,10
H9848,3308298485,15
H9849,3308298492,12
H9850,3308298500,4
H9851,3308298517,13
H9852,3308298524,14
H9853,3308298531,8
H9854,3308298548,13
H9856,3308298562,7
H9857,3308298579,7
H9858,3308298586,9
H9863,3308298632,2
H9865,3308298656,13
H9867,3308298670,19
H9868,3308298687,13
H9871,3308298719,8
H9872,3308298726,18
H9873,3308298733,13
H9874,3308298740,12
H9875,3308298757,17
H9876,3308298764,8
H9877,3308298771,7
H9879,3308298795,27
H9883,3308298834,8
H9884,3308298841,12
H9887,3308298872,0
H9888,3308298889,10
H9889,3308298896,8
H9895,3308298959,5
H9897,3308298973,6
J0402,3408404029,7
J0405,3408404050,14
J0406,3408404067,8
J0408,3408404081,6
J0409,3408404098,6
J0410,3408404106,4
J0416,3408404168,10
J0417,3408404175,10
J0418,3408404182,4
J0423,3408404238,4
J0424,3408404245,9
J0426,3408404269,7
J0429,3408404290,19
J0430,3408404308,8
J0431,3408404315,11
J0435,3408404353,17
J0438,3408404384,21
J0441,3408404416,14
J0442,3408404423,3
J0443,3408404430,9
J0444,3408404447,6
J0445,3408404454,5
J0446,3408404461,8
J0450,3408404500,8
J0452,3408404524,9
J0454,3408404548,15
J0457,3408404579,7
J0458,3408404586,13
J0460,3408404601,7
J0462,3408404625,4
J0464,3408404649,9
J0465,3408404656,17
J0466,3408404663,4
J0469,3408404694,13
J0471,3408404719,8
J0473,3408404733,7
J0476,3408404764,10
J0480,3408404803,6
J0481,3408404810,5
J0482,3408404827,8
J0483,3408404834,7
J0485,3408404858,9
J0488,3408404889,15
J0489,3408404896,4
J0492,3408404928,8
J0494,3408404942,9
J0496,3408404966,15
J0503,3408405039,17
J0504,3408405046,3
J0505,3408405053,15
J0507,3408405077,10
J0509,3408405091,4
J0512,3408405123,6
J0513,3408405130,9
J0517,3408405178,4
J0518,3408405185,4
J0520,3408405200,9
J0522,3408405224,6
J0528,3408405286,8
J0531,3408405318,7
J0533,3408405332,11
J0534,3408405349,18
